stairs_1627_0.mcap  时长 112 s  Odometry 1124  IMU 22300  关节 22299  cmd 1611  climb_mode [(np.float64(43.5), 2)]
    t     Δz    行程   vx令   roll  pitch    yaw | 轮速 fl fr hl hr (rad/s) | 轮力矩 |均| fl fr hl hr | 堵转%(|τ|>6&|v|<1) | 膝 fl fr hl hr
   70  +2.14 10.83  0.25   -0.4   -7.9 -136.2 |  -5.1  +4.5  -4.1  +4.7 |  1.9  1.0  0.8  0.7 |    0    0    0    0 | +1.32 -1.21 -1.38 +1.51
   72  +2.34 11.45  0.25   +0.6   -1.8 -132.9 |  -7.2  +4.3  -5.2  +7.2 |  2.7  2.2  0.9  1.3 |    2    6    0    0 | +1.79 -1.69 -1.67 +1.96
   74  +2.47 11.83  0.25   +1.7   -6.4 -135.3 |  -7.4  +6.9  -3.6  +5.0 |  2.3  1.9  0.9  1.9 |    4    0    0    0 | +1.62 -1.63 -1.72 +1.86
   76  +2.56 12.19  0.25   +1.7   -6.5 -139.0 |  -6.3  +3.8  -2.2  +4.0 |  1.3  1.4  0.9  0.9 |    0    0    0    0 | +1.28 -1.41 -1.53 +1.54
   78  +2.74 12.80  0.25   -1.5   -6.4 -131.0 |  -5.4  +5.9  -4.5  +5.4 |  2.6  1.2  1.0  1.0 |    1    0    0    0 | +1.40 -1.20 -1.36 +1.61
   80  +2.93 13.39  0.25   +1.5   -6.1 -132.8 |  -5.9  +3.7  -4.6  +4.1 |  1.6  1.2  1.5  1.1 |    0    0    1    0 | +1.22 -1.14 -1.28 +1.52
   82  +3.05 13.92  0.18   +0.0   +0.0 -133.8 |  -4.3  +4.7  -5.2  +4.8 |  1.6  0.9  0.9  0.9 |    0    0    0    1 | +1.41 -1.28 -1.29 +1.60
   84  +3.15 14.23  0.00   +0.9   +0.2 -128.0 |  +1.4  +0.1  -0.0  +0.2 |  0.5  1.1  0.8  0.2 |    0    0    0    0 | +2.10 -2.15 -2.19 +2.06
   86  +3.15 14.27  0.00   +1.5   +2.9 -107.3 |  +0.4  +0.7  +0.8  -0.1 |  0.6  2.7  1.7  0.5 |    0    0    0    0 | +2.22 -2.28 -2.32 +2.06
   88  +3.18 14.30  0.00   +0.7   +2.7  -92.5 |  -0.2  +0.2  +1.0  +0.1 |  0.5  2.3  1.0  0.6 |    0    0    0    0 | +2.22 -2.24 -2.26 +2.08
