t,x,y,z,roll,pitch,yaw,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15
0.020,2.4884,0.0,0.3680,-0.125,-4.194,0.0,-0.07328,-0.88029,1.33207,-1199.71484,-0.00268,-0.75258,1.40404,1190.40100,0.06020,0.63992,-1.47485,-1429.00476,0.02428,0.81937,-1.39860,1495.50134
0.040,2.4901,0.0,0.3679,-0.139,-4.195,0.0,-0.07331,-0.88088,1.33187,-1199.71558,-0.00161,-0.74464,1.40851,1190.48083,0.05951,0.64777,-1.47935,-1429.03589,0.02427,0.81945,-1.39935,1495.50903
0.060,2.4928,0.0,0.3675,-0.176,-4.290,0.0,-0.07364,-0.88199,1.33104,-1199.71704,-0.00054,-0.73528,1.41676,1190.61890,0.05429,0.66024,-1.48728,-1429.08960,0.02418,0.82165,-1.40547,1495.52148
0.080,2.4959,0.0,0.3671,-0.177,-4.439,0.0,-0.07460,-0.88277,1.32824,-1199.71753,0.00162,-0.72666,1.42616,1190.76709,0.04958,0.67553,-1.49920,-1429.14709,0.02420,0.82673,-1.41372,1495.53687
0.100,2.4988,0.0,0.3667,-0.138,-4.657,0.0,-0.07454,-0.88327,1.32418,-1199.71790,0.00392,-0.71883,1.43186,1190.89697,0.04692,0.69000,-1.50927,-1429.20178,0.02420,0.83155,-1.42213,1495.55493
0.120,2.5036,0.0,0.3664,-0.134,-5.090,0.0,-0.07456,-0.88371,1.31359,-1199.72803,0.00382,-0.70827,1.43559,1191.09692,0.04403,0.71186,-1.52617,-1429.28906,0.02414,0.83925,-1.43677,1495.58252
0.140,2.5094,0.0,0.3660,-0.135,-5.634,0.0,-0.07466,-0.88378,1.29730,-1199.76941,0.00377,-0.69595,1.43686,1191.32922,0.04130,0.73531,-1.54456,-1429.39587,0.02409,0.84651,-1.45206,1495.62146
0.160,2.5181,0.0,0.3658,-0.140,-6.306,0.0,-0.07462,-0.88509,1.26932,-1199.87036,0.00233,-0.69097,1.44426,1191.57092,0.03828,0.76635,-1.56520,-1429.55176,0.02288,0.85754,-1.47306,1495.68262
0.180,2.5264,0.0,0.3660,-0.199,-6.865,0.0,-0.07464,-0.88213,1.24830,-1200.00684,0.00759,-0.71603,1.45543,1191.75427,0.03545,0.79707,-1.58224,-1429.68750,0.02256,0.86675,-1.48169,1495.74561
0.200,2.5365,0.0,0.3667,-0.429,-7.556,0.0,-0.07401,-0.88331,1.22547,-1200.14478,0.00991,-0.72140,1.46449,1192.06384,0.02860,0.83597,-1.60575,-1429.85034,0.01889,0.87560,-1.48993,1495.82092
0.220,2.5459,0.0,0.3675,-0.883,-8.193,0.0,-0.07549,-0.88311,1.20100,-1200.27368,0.01037,-0.73611,1.48797,1192.26917,0.01967,0.87291,-1.63320,-1430.00378,0.00931,0.88439,-1.49471,1495.89172
0.240,2.5614,0.0,0.3688,-1.656,-9.439,0.0,-0.08694,-0.88331,1.17939,-1200.40173,0.01409,-0.77544,1.55486,1192.57190,0.00810,0.93722,-1.68296,-1430.26917,-0.00082,0.89711,-1.50222,1496.01697
0.260,2.5853,0.0,0.3710,-2.588,-11.526,0.0,-0.09206,-0.88465,1.11959,-1200.58838,0.02369,-0.85098,1.68356,1193.05469,-0.00883,1.00712,-1.76119,-1430.66479,-0.01754,0.91890,-1.51918,1496.21350
0.280,2.6015,0.0,0.3723,-2.912,-13.095,0.0,-0.09595,-0.88570,1.08608,-1200.65491,0.03057,-0.92796,1.78051,1193.41077,-0.01367,1.04232,-1.80236,-1430.93054,-0.01781,0.93198,-1.52961,1496.35559
0.300,2.6241,0.0,0.3739,-3.305,-15.431,0.0,-0.09624,-0.87997,0.99078,-1200.84900,0.06306,-1.01700,1.94599,1194.04358,-0.02275,1.06807,-1.84717,-1431.29797,-0.01799,0.94974,-1.54260,1496.56836
0.320,2.6450,0.0,0.3753,-3.531,-18.226,0.0,-0.11095,-0.86185,0.93692,-1200.92859,0.12223,-1.09037,2.14034,1194.72876,-0.02252,1.05470,-1.88243,-1431.65234,-0.01790,0.97048,-1.57051,1496.79321
0.340,2.6612,0.0,0.3766,-4.123,-21.246,0.0,-0.10099,-0.88170,0.85925,-1201.06860,0.19504,-1.13005,2.34328,1195.42834,-0.03103,1.03131,-1.92389,-1431.83765,-0.01800,0.98370,-1.60329,1497.00586
0.360,2.6737,0.0,0.3784,-4.660,-24.870,0.0,-0.08591,-0.88553,0.77283,-1201.46594,0.31201,-1.11558,2.57423,1196.32324,-0.03707,1.04938,-2.01912,-1431.92200,-0.01809,0.98950,-1.64961,1497.24048
0.380,2.6789,0.0,0.3802,-5.187,-27.892,0.0,-0.07327,-0.89928,0.75951,-1201.73352,0.39398,-1.04711,2.72173,1197.05640,-0.04002,1.03064,-2.09324,-1431.91272,-0.01872,0.98996,-1.70241,1497.38696
0.400,2.6800,0.0,0.3819,-5.669,-30.218,0.0,-0.07286,-0.95015,0.75862,-1201.81909,0.44947,-0.97213,2.72093,1197.58569,-0.05046,0.99611,-2.15039,-1431.86450,-0.02524,0.98173,-1.75320,1497.46497
0.420,2.6783,0.0,0.3852,-6.171,-33.382,0.0,-0.07483,-1.01891,0.78784,-1202.00830,0.46134,-0.86861,2.68861,1198.32397,-0.05638,0.92696,-2.21422,-1431.75464,-0.03232,0.95760,-1.81972,1497.52014
0.440,2.6740,0.0,0.3899,-6.348,-36.194,0.0,-0.08852,-1.06530,0.83922,-1202.20435,0.44304,-0.77487,2.66535,1199.04749,-0.05603,0.82818,-2.25638,-1431.63440,-0.03399,0.91862,-1.87844,1497.52917
0.460,2.6672,0.0,0.3974,-6.458,-38.836,0.0,-0.08976,-1.15302,0.85936,-1202.40540,0.40022,-0.69473,2.59817,1199.89417,-0.05549,0.69794,-2.27461,-1431.51404,-0.03720,0.84906,-1.93327,1497.46899
0.480,2.6631,0.0,0.4026,-6.415,-40.115,0.0,-0.09642,-1.19572,0.89691,-1202.46228,0.38313,-0.65818,2.53043,1200.37390,-0.05425,0.62595,-2.27261,-1431.47473,-0.03821,0.79497,-1.95752,1497.39856
0.500,2.6578,0.0,0.4118,-6.369,-41.537,0.0,-0.11703,-1.24865,0.94778,-1202.60291,0.36779,-0.63006,2.38359,1201.12402,-0.05350,0.52992,-2.24486,-1431.47754,-0.03947,0.69045,-1.98125,1497.25366
0.520,2.6559,0.0,0.4175,-6.471,-41.844,0.0,-0.11727,-1.29783,0.95716,-1202.65588,0.36657,-0.62861,2.29355,1201.55127,-0.05304,0.48868,-2.22092,-1431.51306,-0.04336,0.62487,-1.98049,1497.16772
0.540,2.6558,0.0,0.4258,-6.491,-41.990,0.0,-0.11801,-1.36094,0.99993,-1202.69043,0.35087,-0.63864,2.17351,1202.08850,-0.05196,0.44353,-2.17821,-1431.59790,-0.05267,0.53637,-1.96421,1497.06396
0.560,2.6602,0.0,0.4381,-6.603,-41.846,0.0,-0.11897,-1.45734,1.07855,-1202.74207,0.32087,-0.67314,2.03042,1202.70496,-0.03822,0.39658,-2.12112,-1431.80273,-0.05499,0.41745,-1.90451,1496.96045
0.580,2.6670,0.0,0.4499,-6.646,-41.494,0.0,-0.11100,-1.54797,1.14749,-1202.80713,0.28643,-0.72240,1.92630,1203.15137,0.00122,0.35823,-2.07526,-1432.06482,-0.05503,0.31975,-1.83191,1496.89465
0.600,2.6736,0.0,0.4600,-6.514,-41.196,0.0,-0.10324,-1.62182,1.18869,-1202.87183,0.26186,-0.77099,1.85160,1203.46436,0.03591,0.33609,-2.04305,-1432.25647,-0.05229,0.24421,-1.76216,1496.85547
0.620,2.6866,0.0,0.4801,-6.388,-40.137,0.0,-0.08567,-1.74025,1.21043,-1203.01270,0.22351,-0.85832,1.72786,1203.85791,0.06767,0.31017,-1.96209,-1432.62524,-0.02935,0.10480,-1.59566,1496.81189
0.640,2.6958,0.0,0.4945,-7.023,-39.248,0.0,-0.07657,-1.80545,1.19143,-1203.11926,0.23659,-0.85393,1.71941,1204.00525,0.07434,0.29541,-1.89814,-1432.85876,-0.01711,0.00514,-1.46070,1496.79565
0.660,2.7130,0.0,0.5204,-8.057,-37.607,0.0,-0.06899,-1.89402,1.10682,-1203.31775,0.23904,-0.91377,1.62047,1204.34460,0.06446,0.23753,-1.71372,-1433.28467,0.02118,-0.19553,-1.14152,1496.81860
0.680,2.7274,0.0,0.5338,-8.226,-36.441,0.0,-0.06771,-1.94893,1.01546,-1203.50256,0.22882,-0.94798,1.56523,1204.39685,0.02761,0.14675,-1.49762,-1433.59607,0.06254,-0.37033,-0.84186,1496.87158
0.700,2.7386,0.0,0.5353,-8.058,-35.192,0.0,-0.06838,-1.99345,0.97183,-1203.65564,0.21626,-0.97446,1.51364,1204.47571,0.00925,0.05731,-1.29518,-1433.81799,0.07644,-0.46286,-0.72308,1496.90552
0.720,2.7562,0.0,0.5360,-8.104,-32.804,0.0,-0.06555,-2.08902,1.01884,-1203.82800,0.18015,-0.98645,1.42636,1204.50330,0.01526,-0.08375,-0.94916,-1434.17932,0.10067,-0.42928,-0.86754,1496.94922
0.740,2.7741,0.0,0.5561,-8.913,-29.997,0.0,-0.06810,-2.20000,1.15177,-1203.96814,0.16333,-1.00132,1.36911,1204.50342,0.01479,-0.24302,-0.51777,-1434.65039,0.10734,-0.27814,-1.22881,1497.04102
0.760,2.7894,0.0,0.5844,-9.248,-27.161,0.0,-0.06085,-2.28057,1.29534,-1204.14905,0.12900,-1.04157,1.35529,1204.51575,0.01477,-0.34901,-0.18393,-1435.12634,0.14145,-0.08477,-1.60186,1497.21509
0.780,2.8026,0.0,0.6124,-7.904,-22.713,0.0,-0.04238,-2.19944,1.38942,-1204.43445,0.11570,-1.11024,1.37449,1204.55884,0.02654,-0.29067,-0.12601,-1435.62659,0.23090,0.18354,-1.92790,1497.56165
0.800,2.8093,0.0,0.6236,-6.622,-19.666,0.0,-0.02464,-2.04512,1.39039,-1204.58142,0.11375,-1.13447,1.35425,1204.59351,0.03987,-0.20042,-0.18568,-1435.91101,0.28287,0.37088,-2.05908,1497.81567
0.820,2.8174,0.0,0.6400,-5.499,-15.782,0.0,0.02427,-1.76123,1.33106,-1204.73804,0.11638,-1.12731,1.29688,1204.61060,0.03921,-0.06732,-0.29940,-1436.27319,0.32362,0.64545,-2.18005,1498.20129
0.840,2.8263,0.0,0.6549,-5.957,-12.394,0.0,0.10962,-1.46900,1.22942,-1204.89233,0.12731,-1.08511,1.21993,1204.62830,-0.00355,0.08030,-0.44222,-1436.59644,0.32848,0.92333,-2.22792,1498.62415
0.860,2.8439,0.0,0.6700,-4.922,-9.794,0.0,0.02663,-1.45457,1.20973,-1205.10913,0.11920,-1.03735,1.18810,1204.80969,-0.01189,0.21476,-0.68005,-1436.95337,0.36262,1.19581,-2.15943,1499.13770
0.880,2.8655,0.0,0.6797,-4.444,-7.562,0.0,0.03388,-1.45088,1.12807,-1205.39050,0.10187,-0.98788,1.16643,1205.07056,-0.00058,0.27342,-0.90234,-1437.19995,0.33853,1.35825,-2.02559,1499.53223
0.900,2.8945,0.0,0.6893,-4.188,-5.231,0.0,0.00517,-1.37304,1.03851,-1205.83875,0.10599,-0.94654,1.17830,1205.37439,0.01359,0.33635,-1.09912,-1437.40735,0.28700,1.45921,-1.86423,1499.91150
0.920,2.9197,0.0,0.6963,-4.584,-3.274,0.0,0.00677,-1.31136,0.99808,-1206.24609,0.10291,-0.90768,1.19507,1205.59570,0.02410,0.36608,-1.24043,-1437.53918,0.22482,1.49721,-1.73247,1500.17358
0.940,2.9550,0.0,0.7051,-5.703,-0.763,0.0,0.03443,-1.22954,0.99736,-1206.85266,0.07225,-0.85220,1.20885,1205.89490,0.03065,0.40983,-1.42232,-1437.71350,0.13773,1.50492,-1.55710,1500.47400
0.960,2.9972,0.0,0.7119,-6.672,1.678,0.0,0.00217,-1.15086,1.07031,-1207.56934,0.05917,-0.81347,1.23794,1206.26111,0.04619,0.43836,-1.60880,-1437.93970,0.06362,1.46412,-1.37687,1500.75220
0.980,3.0212,0.0,0.7140,-6.804,2.502,0.0,-0.01354,-1.17301,1.14655,-1207.92407,0.06019,-0.82107,1.26866,1206.44958,0.07532,0.41860,-1.68580,-1438.08679,0.04939,1.41587,-1.29964,1500.86731
1.000,3.0606,0.0,0.7166,-6.859,4.008,0.0,-0.03991,-1.12244,1.17644,-1208.70178,0.05137,-0.80528,1.29477,1206.69861,0.09777,0.39857,-1.74482,-1438.36340,0.03380,1.31126,-1.21771,1500.97754
1.020,3.0845,0.0,0.7184,-6.597,4.611,0.0,-0.04951,-1.07271,1.20954,-1209.12402,0.04441,-0.78817,1.29891,1206.86255,0.09131,0.39980,-1.75053,-1438.53247,0.04230,1.23427,-1.19271,1501.00000
1.040,3.1155,0.0,0.7197,-6.058,5.061,0.0,-0.04775,-1.06483,1.29104,-1209.66064,0.06275,-0.78996,1.30258,1207.10999,0.07063,0.41193,-1.73541,-1438.75928,0.05313,1.12314,-1.17285,1500.99475
1.060,3.1547,0.0,0.7194,-4.728,4.986,0.0,-0.02740,-1.05945,1.38373,-1210.32178,0.07110,-0.78067,1.31403,1207.40735,0.01867,0.44542,-1.68923,-1439.05566,0.06353,0.99698,-1.15587,1500.94373
1.080,3.1785,0.0,0.7184,-4.065,4.840,0.0,-0.01285,-1.03465,1.41195,-1210.72913,0.08313,-0.78392,1.31707,1207.61780,-0.02312,0.47420,-1.64739,-1439.23230,0.06306,0.92579,-1.15301,1500.89368
1.100,3.2102,0.0,0.7158,-3.145,4.435,0.0,-0.01144,-1.00605,1.45297,-1211.26526,0.08991,-0.78287,1.32621,1207.87366,-0.08365,0.51820,-1.57031,-1439.46680,0.06179,0.85323,-1.16266,1500.81189
1.120,3.2473,0.0,0.7114,-2.171,3.347,0.0,-0.00446,-0.99425,1.51210,-1211.89124,0.10038,-0.80791,1.34601,1208.18921,-0.15716,0.57223,-1.44899,-1439.74146,0.04272,0.80355,-1.19064,1500.70312
1.140,3.2674,0.0,0.7082,-1.764,2.787,0.0,-0.00032,-0.97654,1.53196,-1212.24817,0.10133,-0.81398,1.33875,1208.34436,-0.19728,0.60542,-1.36936,-1439.89343,0.03165,0.79300,-1.24184,1500.70581
1.160,3.2964,0.0,0.7036,-2.106,1.724,0.0,-0.01563,-0.93510,1.54571,-1212.78320,0.10247,-0.85316,1.35228,1208.53381,-0.25580,0.67082,-1.22601,-1440.10095,0.02408,0.80351,-1.36029,1500.70154
1.180,3.3162,0.0,0.7009,-1.500,0.743,0.0,-0.01965,-0.91724,1.56088,-1213.18787,0.10102,-0.86695,1.33695,1208.61816,-0.26677,0.73334,-1.12948,-1440.21643,0.00015,0.81084,-1.41373,1500.71375
1.200,3.3334,0.0,0.6999,-1.174,-0.029,0.0,0.00099,-0.85950,1.53708,-1213.56042,0.10222,-0.86954,1.30708,1208.69653,-0.25504,0.81410,-1.08380,-1440.28149,-0.00471,0.81353,-1.46904,1500.78796
